City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,linfen,36.0889,111.5189,3.76,67,46,0.28,CN,1676470515
271,cortez,37.3489,-108.5859,-8.5,74,40,2.06,US,1676470516
272,vao,-22.6667,167.4833,23.75,60,88,3.48,NC,1676470517
273,kayseri,38.737,35.4968,0.01,69,75,5.14,TR,1676470519
274,hoquiam,46.9809,-123.8893,1.67,94,0,3.09,US,1676470269
275,ystad,55.4297,13.8204,4.41,84,98,4.04,SE,1676470521
276,victoria,22.2855,114.1577,17.36,72,3,2.68,HK,1676470343
277,santa cruz,-17.8,-63.1667,28.7,65,75,7.72,BO,1676470512
278,igarka,67.4667,86.5833,-13.0,95,100,4.7,RU,1676470524
279,cherskiy,68.75,161.3,-37.61,97,100,1.79,RU,1676470525
280,castlecomer,52.8061,-7.2106,9.7,71,77,5.52,IE,1676470526
281,hvide sande,56.0045,8.1294,5.72,91,100,5.47,DK,1676470527
282,davidson,36.1501,-86.7833,17.73,82,75,6.71,US,1676470529
283,adil-yangiyurt,43.5633,46.5846,0.44,98,100,4.19,RU,1676470530
284,bambous virieux,-20.3428,57.7575,28.14,65,20,1.54,MU,1676470531
285,freeport,40.6576,-73.5832,10.55,75,20,8.75,US,1676470293
286,lagos,6.5833,3.75,34.54,39,64,3.43,NG,1676470200
287,taoudenni,22.6783,-3.9836,28.63,14,100,4.54,ML,1676470533
288,honningsvag,70.9821,25.9704,4.86,75,100,5.14,NO,1676470534
289,esperance,-33.8667,121.9,16.76,75,57,4.79,AU,1676470535
290,tubmanburg,6.8708,-10.8172,37.26,35,89,0.87,LR,1676470536
291,yar-sale,66.8333,70.8333,-19.51,98,100,1.82,RU,1676470537
292,camalu,30.85,-116.0667,9.94,68,36,4.83,MX,1676470538
293,jumla,29.2747,82.1838,7.41,65,0,1.38,NP,1676470539
294,villazon,-22.0866,-65.5942,9.76,78,100,2.1,BO,1676470540
295,sungaipenuh,-2.0833,101.3833,18.92,91,100,0.7,ID,1676470541
296,salinas,36.6777,-121.6555,7.32,60,0,3.09,US,1676470542
297,cabra,37.4725,-4.4421,15.73,45,100,1.21,ES,1676470543
298,shimoda,34.6667,138.95,2.28,70,98,4.06,JP,1676470544
299,gamba,-2.65,10.0,24.83,85,98,3.73,GA,1676470545
300,podosinovets,60.2776,47.0659,-8.2,91,100,2.24,RU,1676470546
301,jieshi,22.8134,115.8257,14.48,78,11,9.36,CN,1676470547
302,siyabuswa,-25.1132,29.0445,30.98,38,27,5.27,ZA,1676470548
303,piacabucu,-10.4056,-36.4344,30.26,62,100,5.14,BR,1676470549
304,sept-iles,50.2001,-66.3821,-6.64,89,100,3.09,CA,1676470551
305,sao joao da barra,-21.6403,-41.0511,31.05,78,51,4.05,BR,1676470551
306,sinnamary,5.3833,-52.95,26.2,89,85,4.94,GF,1676470552
307,buang,13.3122,123.6419,22.39,90,100,4.91,PH,1676470553
308,wattegama,6.7989,81.4808,21.76,78,5,3.51,LK,1676470554
309,popondetta,-8.7537,148.2534,23.59,95,93,1.22,PG,1676470554
310,pangkalanbuun,-2.6833,111.6167,24.3,89,99,1.7,ID,1676470555
311,bud,39.447,-86.1758,14.63,70,3,8.96,US,1676470556
312,ajdabiya,30.7554,20.2263,16.04,50,33,6.87,LY,1676470557
313,huilong,31.8111,121.655,2.74,71,4,3.3,CN,1676470558
314,kuminskiy,58.6667,66.5667,-12.97,97,100,2.0,RU,1676470558
315,bambanglipuro,-7.95,110.2833,24.7,89,100,2.99,ID,1676470559
316,yeppoon,-23.1333,150.7333,25.88,78,57,6.53,AU,1676470560
317,port lincoln,-34.7333,135.8667,23.39,55,95,5.15,AU,1676470561
318,saint george,37.1041,-113.5841,-0.42,54,75,5.36,US,1676470267
319,burnie,-41.0667,145.9167,14.41,96,53,3.08,AU,1676470563
320,zhanakorgan,43.9098,67.2495,0.2,61,100,4.82,KZ,1676470564
321,filingue,14.3521,3.3168,30.66,10,3,8.36,NE,1676470565
322,port-gentil,-0.7193,8.7815,26.24,81,100,3.97,GA,1676470567
323,minnedosa,50.2453,-99.8436,-24.69,92,12,4.32,CA,1676470569
324,okha,53.5739,142.9478,-26.01,97,23,5.47,RU,1676470571
325,niagara falls,43.1001,-79.0663,16.25,51,100,10.29,CA,1676470573
326,kodiak,57.79,-152.4072,-2.27,69,100,6.69,US,1676470574
327,sur,22.5667,59.5289,26.76,35,39,6.17,OM,1676470575
328,arman,59.7,150.1667,-16.1,89,100,6.11,RU,1676470576
329,dondo,-19.6094,34.7431,32.73,73,20,4.12,MZ,1676470577
330,villacarrillo,38.1156,-3.0848,13.97,41,100,0.96,ES,1676470578
331,odienne,9.51,-7.5692,36.79,9,23,3.29,CI,1676470579
332,saint anthony,45.0205,-93.218,0.96,81,100,10.8,US,1676470580
333,haines junction,60.7522,-137.5108,-11.03,92,100,0.0,CA,1676470581
334,port augusta,-32.5,137.7667,26.68,16,0,2.37,AU,1676470582
335,belen,36.4891,36.2233,9.08,24,40,7.2,TR,1676470583
336,alice springs,-23.7,133.8833,31.23,40,3,4.12,AU,1676470584
337,hwange,-18.3693,26.5019,25.79,84,100,1.63,ZW,1676470585
338,mabaruma,8.2,-59.7833,25.63,93,86,2.68,GY,1676470586
339,jojoima,7.8792,-10.7878,36.6,33,64,0.78,SL,1676470587
340,sangar,63.9242,127.4739,-40.49,100,47,0.44,RU,1676470588
341,xinqing,48.2333,129.5,-19.94,98,57,1.94,CN,1676470589
342,vila franca do campo,37.7167,-25.4333,15.23,60,43,1.79,PT,1676470590
343,berdigestyakh,62.0989,126.6992,-36.84,100,97,0.47,RU,1676470593
344,lengshuitan,26.4111,111.5956,7.56,74,11,2.44,CN,1676470595
345,xiongzhou,25.1167,114.3,7.01,82,0,1.55,CN,1676470597
346,kumluca,36.3703,30.2869,12.59,47,39,1.51,TR,1676470599
347,buraydah,26.326,43.975,16.25,26,99,2.14,SA,1676470532
348,orbetello,42.4408,11.2196,17.01,53,0,1.75,IT,1676470601
349,rawah,34.4816,41.9093,11.45,42,98,0.85,IQ,1676470602
350,parabel,58.6978,81.4825,-18.96,100,90,1.74,RU,1676470603
351,norman wells,65.282,-126.8329,-37.98,67,0,0.0,CA,1676470604
352,ojinaga,29.5667,-104.4167,14.53,23,0,4.12,MX,1676470605
353,elko,41.0002,-115.5012,-9.99,100,64,1.03,US,1676470605
354,waiuku,-37.25,174.75,18.51,93,98,0.67,NZ,1676470606
355,barcelos,41.5388,-8.6151,20.08,46,9,0.67,PT,1676470607
356,sao filipe,14.8961,-24.4956,22.0,68,0,6.11,CV,1676470608
357,the valley,18.217,-63.0578,27.68,73,20,6.17,AI,1676470474
358,yelizovo,53.1873,158.3805,-1.92,54,75,11.0,RU,1676470611
359,marsh harbour,26.5412,-77.0636,22.57,63,0,7.47,BS,1676470611
360,carutapera,-1.195,-46.02,27.85,81,89,2.56,BR,1676470613
361,carleton place,45.1334,-76.1494,3.14,82,100,1.79,CA,1676470459
362,huarmey,-10.0681,-78.1522,23.67,83,100,1.69,PE,1676470615
363,clearwater,27.9659,-82.8001,20.61,79,0,4.63,US,1676470600
364,socol,44.8608,21.3703,9.05,67,5,0.45,RO,1676470616
365,staroutkinsk,57.2302,59.3348,-11.58,93,95,4.02,RU,1676470617
366,majene,-3.5403,118.9707,26.42,79,100,4.59,ID,1676470618
